Time resolution is 1 ps
t=                   0 | sel=0  ena=0  rst=0 | ro_final=0000  entropy=0
t=              200000 | sel=0  ena=0  rst=1 | ro_final=0000  entropy=0
Rings ENABLED  at               320000 ns
t=              320000 | sel=0  ena=1  rst=1 | ro_final=1111  entropy=0
t=              339000 | sel=0  ena=1  rst=1 | ro_final=1110  entropy=0
t=              358000 | sel=0  ena=1  rst=1 | ro_final=1100  entropy=0
t=              358000 | sel=0  ena=1  rst=1 | ro_final=1101  entropy=0
t=              377000 | sel=0  ena=1  rst=1 | ro_final=1100  entropy=0
t=              395000 | sel=0  ena=1  rst=1 | ro_final=1110  entropy=0
t=              396000 | sel=0  ena=1  rst=1 | ro_final=1111  entropy=0
t=              398000 | sel=0  ena=1  rst=1 | ro_final=1011  entropy=0
t=              415000 | sel=0  ena=1  rst=1 | ro_final=1010  entropy=0
t=              433000 | sel=0  ena=1  rst=1 | ro_final=1000  entropy=0
t=              434000 | sel=0  ena=1  rst=1 | ro_final=1001  entropy=0
t=              453000 | sel=0  ena=1  rst=1 | ro_final=1000  entropy=0
t=              471000 | sel=0  ena=1  rst=1 | ro_final=1010  entropy=0
t=              472000 | sel=0  ena=1  rst=1 | ro_final=1011  entropy=0
t=              476000 | sel=0  ena=1  rst=1 | ro_final=1111  entropy=0
t=              482000 | sel=0  ena=1  rst=1 | ro_final=0111  entropy=0
t=              491000 | sel=0  ena=1  rst=1 | ro_final=0110  entropy=0
t=              508000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=              511000 | sel=0  ena=1  rst=1 | ro_final=0101  entropy=0
t=              530000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=              546000 | sel=0  ena=1  rst=1 | ro_final=0110  entropy=0
t=              549000 | sel=0  ena=1  rst=1 | ro_final=0111  entropy=0
t=              554000 | sel=0  ena=1  rst=1 | ro_final=0011  entropy=0
t=              568000 | sel=0  ena=1  rst=1 | ro_final=0010  entropy=0
t=              584000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=              587000 | sel=0  ena=1  rst=1 | ro_final=0001  entropy=0
t=              606000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=              621000 | sel=0  ena=1  rst=1 | ro_final=0010  entropy=0
t=              625000 | sel=0  ena=1  rst=1 | ro_final=0011  entropy=0
t=              633000 | sel=0  ena=1  rst=1 | ro_final=0111  entropy=0
t=              644000 | sel=0  ena=1  rst=1 | ro_final=0110  entropy=0
