Time resolution is 1 ps
t=     0 ns | ena=0 rst_n=0 | uo_out = 0_0_0_0_0_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   150 ns | ena=0 rst_n=1 | uo_out = 0_0_0_0_0_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
=== Rings ENABLED at               350000 ns ===
t=   350 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   350 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   351 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   351 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   352 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   352 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   353 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   353 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   354 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   354 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   355 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   355 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   355 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   356 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   356 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_1  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
t=   357 ns | ena=1 rst_n=1 | uo_out = 0_0_1_1_1_0  (div16 slow · div16 fast · 1001 · 501 · 125 · 3)
